PARAMETER,YEAR,LAT,LON,ANN-Wind
WS2M,2013,-10.5,34.375,3.85
WS2M,2013,-10.5,35,2.52
WS2M,2013,-10.5,35.625,2.39
WS2M,2013,-11,33.125,2.54
WS2M,2013,-11,33.75,2.76
WS2M,2013,-11,34.375,3.94
WS2M,2013,-11,35,3.07
WS2M,2013,-11,35.625,1.28
WS2M,2013,-11.5,33.125,2.93
WS2M,2013,-11.5,33.75,2.47
WS2M,2013,-11.5,34.375,3.96
WS2M,2013,-11.5,35,3.17
WS2M,2013,-11.5,35.625,2.24
WS2M,2013,-12,33.125,3.14
WS2M,2013,-12,33.75,1.76
WS2M,2013,-12,34.375,4.05
WS2M,2013,-12,35,3.03
WS2M,2013,-12,35.625,2.39
WS2M,2013,-12.5,33.125,3.1
WS2M,2013,-12.5,33.75,2
WS2M,2013,-12.5,34.375,4.22
WS2M,2013,-12.5,35,3.17
WS2M,2013,-12.5,35.625,2.25
WS2M,2013,-13,33.125,2.85
WS2M,2013,-13,33.75,2.31
WS2M,2013,-13,34.375,3.99
WS2M,2013,-13,35,3.46
WS2M,2013,-13,35.625,2.11
WS2M,2013,-13.5,33.125,2.64
WS2M,2013,-13.5,33.75,2.56
WS2M,2013,-13.5,34.375,3.88
WS2M,2013,-13.5,35,3.67
WS2M,2013,-13.5,35.625,2.4
WS2M,2013,-14,33.125,2.42
WS2M,2013,-14,33.75,2.38
WS2M,2013,-14,34.375,2.73
WS2M,2013,-14,35,3.83
WS2M,2013,-14,35.625,2.53
WS2M,2013,-14.5,33.125,2.45
WS2M,2013,-14.5,33.75,2.45
WS2M,2013,-14.5,34.375,1.6
WS2M,2013,-14.5,35,2.61
WS2M,2013,-14.5,35.625,2.65
WS2M,2013,-15,33.125,2.71
WS2M,2013,-15,33.75,2.46
WS2M,2013,-15,34.375,2.33
WS2M,2013,-15,35,2.17
WS2M,2013,-15,35.625,3.01
WS2M,2013,-15.5,33.125,2.72
WS2M,2013,-15.5,33.75,2.48
WS2M,2013,-15.5,34.375,2.44
WS2M,2013,-15.5,35,2.1
WS2M,2013,-15.5,35.625,2.6
WS2M,2013,-16,33.125,2.66
WS2M,2013,-16,33.75,2.57
WS2M,2013,-16,34.375,2.44
WS2M,2013,-16,35,2.19
WS2M,2013,-16,35.625,1.9
WS2M,2013,-16.5,33.125,2.7
WS2M,2013,-16.5,33.75,2.76
WS2M,2013,-16.5,34.375,2.62
WS2M,2013,-16.5,35,2.35
WS2M,2013,-16.5,35.625,2.26
WS2M,2013,-17,33.125,2.78
WS2M,2013,-17,33.75,3.01
WS2M,2013,-17,34.375,2.75
WS2M,2013,-17,35,2.47
WS2M,2013,-17,35.625,2.61
WS2M,2013,-9.5,33.125,2.46
WS2M,2013,-9.5,33.75,1.13
WS2M,2013,-9.5,34.375,1.73
WS2M,2013,-9.5,35,0.82
WS2M,2013,-9.5,35.625,0.06
WS2M,2014,-10,33.125,2.11
WS2M,2014,-10,33.75,2.56
WS2M,2014,-10,34.375,4.13
WS2M,2014,-10,35,1.19
WS2M,2014,-10,35.625,0.87
WS2M,2014,-10.5,33.125,2.05
WS2M,2014,-10.5,33.75,2.07
WS2M,2014,-10.5,34.375,3.71
WS2M,2014,-10.5,35,2.43
WS2M,2014,-10.5,35.625,2.31
WS2M,2014,-11,33.125,2.33
WS2M,2014,-11,33.75,2.65
WS2M,2014,-11,34.375,3.81
WS2M,2014,-11,35,2.99
WS2M,2014,-11,35.625,1.22
WS2M,2014,-11.5,33.125,2.68
WS2M,2014,-11.5,33.75,2.36
WS2M,2014,-11.5,34.375,3.85
WS2M,2014,-11.5,35,3.14
WS2M,2014,-11.5,35.625,2.1
WS2M,2014,-12,33.125,2.88
WS2M,2014,-12,33.75,1.71
WS2M,2014,-12,34.375,3.84
WS2M,2014,-12,35,2.98
WS2M,2014,-12,35.625,2.21
WS2M,2014,-12.5,33.125,2.92
WS2M,2014,-12.5,33.75,1.97
WS2M,2014,-12.5,34.375,3.99
WS2M,2014,-12.5,35,3.02
WS2M,2014,-12.5,35.625,2.1
WS2M,2014,-13,33.125,2.71
WS2M,2014,-13,33.75,2.29
WS2M,2014,-13,34.375,3.85
WS2M,2014,-13,35,3.28
WS2M,2014,-13,35.625,1.99
WS2M,2014,-13.5,33.125,2.49
WS2M,2014,-13.5,33.75,2.52
WS2M,2014,-13.5,34.375,3.75
WS2M,2014,-13.5,35,3.55
WS2M,2014,-13.5,35.625,2.26
WS2M,2014,-14,33.125,2.29
WS2M,2014,-14,33.75,2.32
WS2M,2014,-14,34.375,2.65
