"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"quantile",0.99,33.1497856998183
"SARIMA",2023-09-01,"Blantyre",1,"month","incidence",2023-10-01,"point",NA,19.3396727263675
"SARIMA",2023-09-01,"Blantyre",2,"month","incidence",2023-11-01,"point",NA,15.3787621126031
"SARIMA",2023-09-01,"Blantyre",3,"month","incidence",2023-12-01,"point",NA,15.4072632930487
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.01,5.02203964644377
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.025,7.3142611005753
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.05,9.2856980080981
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.1,11.5586385039854
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.15,13.0921806657514
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.2,14.3109913616472
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.25,15.3566224137635
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.3,16.2956314151503
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.35,17.165763195251
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.4,17.9914331641943
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.45,18.7902784145477
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.5,19.5764582752636
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.55,20.3626381359794
"SARIMA",2023-10-01,"Blantyre",1,"month","incidence",2023-11-01,"quantile",0.6,21.1614833863328
