District,Incidence_Month,Year,Incidence_per_1k,lag1_rainfall,lag2_rainfall,lag3_rainfall,lag1_temperature,lag2_temperature,lag3_temperature
Blantyre,January,2021,29.7563,0.01,0,0,299.145,301.587,298.813
Blantyre,February,2021,25.061,0.02,0.01,0,298.022,299.145,301.587
Blantyre,March,2021,31.3795,0.01,0.02,0.01,298.464,298.022,299.145
Blantyre,April,2021,29.9608,0.01,0.01,0.02,296.553,298.464,298.022
Blantyre,May,2021,26.1249,0,0.01,0.01,295.021,296.553,298.464
Blantyre,June,2021,18.7719,0,0,0.01,292.705,295.021,296.553
Blantyre,July,2021,14.6729,0,0,0,291.756,292.705,295.021
Blantyre,August,2021,9.8446,0,0,0,291.127,291.756,292.705
Blantyre,September,2021,9.7709,0,0,0,293.274,291.127,291.756
Blantyre,October,2021,10.7603,0,0,0,296.042,293.274,291.127
Blantyre,November,2021,6.8756,0,0,0,298.311,296.042,293.274
Blantyre,December,2021,8.5913,0.01,0,0,300.616,298.311,296.042
Blantyre,January,2022,9.2744,0,0.01,0,301.118,300.616,298.311
Blantyre,February,2022,17.9713,0.03,0,0.01,296.978,301.118,300.616
Blantyre,March,2022,16.7814,0.02,0.03,0,297.139,296.978,301.118
Blantyre,April,2022,18.9014,0.02,0.02,0.03,296.549,297.139,296.978
Blantyre,May,2022,21.1911,0,0.02,0.02,295.976,296.549,297.139
Blantyre,June,2022,17.1421,0,0,0.02,293.573,295.976,296.549
Blantyre,July,2022,13.6435,0,0,0,290.781,293.573,295.976
Blantyre,August,2022,12.3548,0,0,0,291.121,290.781,293.573
Blantyre,September,2022,9.8999,0,0,0,293.651,291.121,290.781
Blantyre,October,2022,11.4682,0,0,0,295.847,293.651,291.121
Blantyre,November,2022,8.7972,0,0,0,299.593,295.847,293.651
Blantyre,December,2022,10.4701,0,0,0,299.235,299.593,295.847
Blantyre,January,2023,20.2329,0.02,0,0,297.702,299.235,299.593
Blantyre,February,2023,26.2949,0.02,0.02,0,296.874,297.702,299.235
Blantyre,March,2023,24.8598,0.02,0.02,0.02,297.402,296.874,297.702
Blantyre,April,2023,26.9227,0.03,0.02,0.02,296.408,297.402,296.874
Blantyre,May,2023,25.9314,0,0.03,0.02,295.664,296.408,297.402
Blantyre,June,2023,34.8152,0,0,0.03,294.723,295.664,296.408
Blantyre,July,2023,30.575,0,0,0,293.813,294.723,295.664
Blantyre,August,2023,24.6411,0,0,0,292.022,293.813,294.723
Blantyre,September,2023,19.4806,0,0,0,293.69,292.022,293.813
Blantyre,October,2023,22.9584,0,0,0,297.993,293.69,292.022
Blantyre,November,2023,22.2625,0,0,0,299.878,297.993,293.69
Blantyre,December,2023,18.8145,0,0,0,299.639,299.878,297.993
Blantyre,January,2024,40.8281,0.01,0,0,300.772,299.639,299.878
Blantyre,February,2024,32.8736,0.01,0.01,0,298.253,300.772,299.639
Blantyre,March,2024,40.0125,0.01,0.01,0.01,299.085,298.253,300.772
Blantyre,April,2024,51.7175,0.01,0.01,0.01,298.198,299.085,298.253
Blantyre,May,2024,41.2057,0,0.01,0.01,296.665,298.198,299.085
Blantyre,June,2024,28.2961,0,0,0.01,294.508,296.665,298.198
Blantyre,July,2024,26.2211,0,0,0,292.543,294.508,296.665
Blantyre,August,2024,25.377,0,0,0,293.252,292.543,294.508
Blantyre,September,2024,24.6616,0,0,0,294.453,293.252,292.543
Blantyre,October,2024,16.7682,0,0,0,296.69,294.453,293.252
Blantyre,November,2024,19.0096,0,0,0,297.508,296.69,294.453
Blantyre,December,2024,25.4673,0.01,0,0,299.382,297.508,296.69
Chikwawa,April,2018,31.8798,0.01,0.02,0,299.487,300.04,300.347
Chikwawa,May,2018,38.1339,0,0.01,0.02,298.455,299.487,300.04
Chikwawa,June,2018,22.9933,0,0,0.01,297.489,298.455,299.487
Chikwawa,July,2018,20.5168,0,0,0,294.746,297.489,298.455
Chikwawa,August,2018,19.4422,0,0,0,292.83,294.746,297.489
Chikwawa,September,2018,18.9678,0,0,0,297.457,292.83,294.746
Chikwawa,October,2018,11.5028,0,0,0,300.608,297.457,292.83
Chikwawa,November,2018,7.18,0,0,0,299.667,300.608,297.457
Chikwawa,December,2018,8.7891,0.01,0,0,300.478,299.667,300.608
Chikwawa,January,2019,24.0884,0.01,0.01,0,299.662,300.478,299.667
Chikwawa,February,2019,45.4727,0.03,0.01,0.01,299.103,299.662,300.478
Chikwawa,March,2019,45.5593,0.01,0.03,0.01,299.323,299.103,299.662
Chikwawa,April,2019,51.0001,0.03,0.01,0.03,298.26,299.323,299.103
Chikwawa,May,2019,66.3049,0,0.03,0.01,297.787,298.26,299.323
Chikwawa,June,2019,40.8368,0,0,0.03,295.297,297.787,298.26
Chikwawa,July,2019,36.5558,0,0,0,293.132,295.297,297.787
Chikwawa,August,2019,31.6689,0,0,0,293.194,293.132,295.297
Chikwawa,September,2019,35.5621,0,0,0,296.305,293.194,293.132
Chikwawa,October,2019,29.1328,0,0,0,297.638,296.305,293.194
Chikwawa,November,2019,12.4519,0,0,0,302.178,297.638,296.305
Chikwawa,December,2019,10.8108,0.01,0,0,302.416,302.178,297.638
Chikwawa,January,2020,33.2759,0.01,0.01,0,301.569,302.416,302.178
Chikwawa,February,2020,47.9548,0.03,0.01,0.01,298.993,301.569,302.416
Chikwawa,March,2020,67.1937,0.01,0.03,0.01,299.501,298.993,301.569
Chikwawa,April,2020,44.8618,0,0.01,0.03,299.22,299.501,298.993
Chikwawa,May,2020,48.485,0,0,0.01,299.217,299.22,299.501
Chikwawa,June,2020,50.8801,0,0,0,296.081,299.217,299.22
Chikwawa,July,2020,30.0778,0,0,0,293.852,296.081,299.217
Chikwawa,August,2020,28.3281,0,0,0,292.918,293.852,296.081
Chikwawa,September,2020,42.5192,0,0,0,295.901,292.918,293.852
Chikwawa,October,2020,18.2937,0,0,0,298.778,295.901,292.918
Chikwawa,November,2020,14.784,0,0,0,300.873,298.778,295.901
Chikwawa,December,2020,11.0135,0,0,0,304.092,300.873,298.778
Chikwawa,January,2021,27.5704,0.01,0,0,300.829,304.092,300.873
Chikwawa,February,2021,45.241,0.02,0.01,0,299.945,300.829,304.092
Chikwawa,March,2021,45.9143,0.01,0.02,0.01,300.858,299.945,300.829
Chikwawa,April,2021,53.3433,0.01,0.01,0.02,298.962,300.858,299.945
Chikwawa,May,2021,55.3465,0,0.01,0.01,297.465,298.962,300.858
Chikwawa,June,2021,47.4614,0,0,0.01,295.101,297.465,298.962
Chikwawa,July,2021,41.1185,0,0,0,293.951,295.101,297.465
Chikwawa,August,2021,35.6661,0,0,0,293.202,293.951,295.101
Chikwawa,September,2021,33.9647,0,0,0,295.572,293.202,293.951
Chikwawa,October,2021,22.534300000000002,0,0,0,298.364,295.572,293.202
Chikwawa,November,2021,12.0971,0,0,0,300.245,298.364,295.572
Chikwawa,December,2021,12.4951,0.01,0,0,302.632,300.245,298.364
Chikwawa,January,2022,12.5584,0,0.01,0,303.089,302.632,300.245
Chikwawa,February,2022,17.6048,0.03,0,0.01,298.873,303.089,302.632
Chikwawa,March,2022,22.5749,0.02,0.03,0,298.827,298.873,303.089
Chikwawa,April,2022,26.4453,0.02,0.02,0.03,298.212,298.827,298.873
Chikwawa,May,2022,24.7091,0,0.02,0.02,297.637,298.212,298.827
Chikwawa,June,2022,14.1712,0,0,0.02,295.29,297.637,298.212
Chikwawa,July,2022,10.3949,0,0,0,292.387,295.29,297.637
Chikwawa,August,2022,12.4625,0,0,0,292.956,292.387,295.29
Chikwawa,September,2022,8.402,0,0,0,295.61,292.956,292.387
Chikwawa,October,2022,7.6078,0,0,0,298.075,295.61,292.956
Chikwawa,November,2022,5.2852,0,0,0,302.001,298.075,295.61
Chikwawa,December,2022,5.1179,0,0,0,301.093,302.001,298.075
Chikwawa,January,2023,12.827,0.02,0,0,299.912,301.093,302.001
Chikwawa,February,2023,27.6627,0.02,0.02,0,298.751,299.912,301.093
Chikwawa,March,2023,27.572,0.02,0.02,0.02,299.292,298.751,299.912
Chikwawa,April,2023,40.0569,0.02,0.02,0.02,297.959,299.292,298.751
Chikwawa,May,2023,32.5809,0,0.02,0.02,297.52,297.959,299.292
Chikwawa,June,2023,42.9393,0,0,0.02,296.683,297.52,297.959
Chikwawa,July,2023,30.8794,0,0,0,295.821,296.683,297.52
Chikwawa,August,2023,33.4022,0,0,0,293.996,295.821,296.683
Chikwawa,September,2023,29.8162,0,0,0,295.582,293.996,295.821
Chikwawa,October,2023,28.5652,0,0,0,300.301,295.582,293.996
Chikwawa,November,2023,18.4424,0,0,0,301.858,300.301,295.582
Chikwawa,December,2023,12.8446,0,0,0,302.059,301.858,300.301
Chikwawa,January,2024,22.8446,0.01,0,0,303.004,302.059,301.858
Chikwawa,February,2024,35.8079,0.01,0.01,0,300.164,303.004,302.059
Chikwawa,March,2024,22.7385,0,0.01,0.01,301.579,300.164,303.004
Chikwawa,April,2024,33.6684,0,0,0.01,300.789,301.579,300.164
Chikwawa,May,2024,45.3225,0,0,0,298.715,300.789,301.579
Chikwawa,June,2024,29.4597,0,0,0,296.604,298.715,300.789
Chikwawa,July,2024,29.2178,0,0,0,294.592,296.604,298.715
Chikwawa,August,2024,39.3722,0,0,0,295.263,294.592,296.604
Chikwawa,September,2024,28.6544,0,0,0,296.585,295.263,294.592
Chikwawa,October,2024,10.3026,0,0,0,298.711,296.585,295.263
Chikwawa,November,2024,16.0703,0,0,0,299.641,298.711,296.585
Chikwawa,December,2024,15.585,0,0,0,301.778,299.641,298.711
Chiradzulu,April,2018,37.9389,0.01,0.02,0.01,296.745,297.176,296.89
Chiradzulu,May,2018,32.6938,0.01,0.01,0.02,295.039,296.745,297.176
Chiradzulu,June,2018,15.1112,0,0.01,0.01,293.936,295.039,296.745
Chiradzulu,July,2018,7.2491,0,0,0.01,291.54,293.936,295.039
Chiradzulu,August,2018,4.6965,0,0,0,290.316,291.54,293.936
Chiradzulu,September,2018,6.3367000000000004,0,0,0,294.087,290.316,291.54
Chiradzulu,October,2018,5.5614,0,0,0,297.073,294.087,290.316
Chiradzulu,November,2018,3.3783,0,0,0,296.518,297.073,294.087
Chiradzulu,December,2018,4.3635,0.01,0,0,297.606,296.518,297.073
Chiradzulu,January,2019,14.4267,0.02,0.01,0,297.081,297.606,296.518
Chiradzulu,February,2019,17.3197,0.03,0.02,0.01,296.527,297.081,297.606
Chiradzulu,March,2019,26.2516,0.01,0.03,0.02,296.818,296.527,297.081
Chiradzulu,April,2019,28.0044,0.03,0.01,0.03,296.09,296.818,296.527
Chiradzulu,May,2019,40.0189,0,0.03,0.01,295.661,296.09,296.818
Chiradzulu,June,2019,14.1135,0,0,0.03,292.932,295.661,296.09
Chiradzulu,July,2019,5.5388,0,0,0,290.792,292.932,295.661
Chiradzulu,August,2019,2.7694,0,0,0,290.637,290.792,292.932
Chiradzulu,September,2019,2.6925,0,0,0,293.674,290.637,290.792
Chiradzulu,October,2019,2.7419,0,0,0,294.87,293.674,290.637
Chiradzulu,November,2019,3.0524,0,0,0,299.127,294.87,293.674
Chiradzulu,December,2019,4.7283,0.01,0,0,299.499,299.127,294.87
Chiradzulu,January,2020,20.6731,0.01,0.01,0,298.002,299.499,299.127
Chiradzulu,February,2020,16.2152,0.04,0.01,0.01,296.433,298.002,299.499
Chiradzulu,March,2020,27.9131,0.01,0.04,0.01,297.042,296.433,298.002
Chiradzulu,April,2020,35.0317,0,0.01,0.04,296.256,297.042,296.433
Chiradzulu,May,2020,22.5728,0,0,0.01,296.298,296.256,297.042
Chiradzulu,June,2020,8.0415,0,0,0,293.252,296.298,296.256
Chiradzulu,July,2020,4.9841,0,0,0,291.16,293.252,296.298
Chiradzulu,August,2020,2.3423,0,0,0,290.288,291.16,293.252
Chiradzulu,September,2020,2.6607,0,0,0,293.141,290.288,291.16
Chiradzulu,October,2020,3.9641,0,0,0,295.773,293.141,290.288
Chiradzulu,November,2020,3.8669,0,0,0,297.928,295.773,293.141
Chiradzulu,December,2020,5.1514,0,0,0,300.583,297.928,295.773
Chiradzulu,January,2021,16.6824,0.02,0,0,298.286,300.583,297.928
Chiradzulu,February,2021,12.9142,0.02,0.02,0,297.25,298.286,300.583
Chiradzulu,March,2021,37.4115,0.02,0.02,0.02,297.576,297.25,298.286
Chiradzulu,April,2021,32.381100000000004,0.01,0.02,0.02,295.641,297.576,297.25
Chiradzulu,May,2021,23.6726,0,0.01,0.02,294.085,295.641,297.576
Chiradzulu,June,2021,14.6087,0,0,0.01,291.816,294.085,295.641
Chiradzulu,July,2021,5.6616,0,0,0,290.924,291.816,294.085
Chiradzulu,August,2021,2.4503,0,0,0,290.362,290.924,291.816
Chiradzulu,September,2021,2.7181,0,0,0,292.477,290.362,290.924
Chiradzulu,October,2021,2.8295,0,0,0,295.234,292.477,290.362
Chiradzulu,November,2021,2.7817,0,0,0,297.481,295.234,292.477
Chiradzulu,December,2021,3.2113,0.01,0,0,299.741,297.481,295.234
Chiradzulu,January,2022,3.4884,0,0.01,0,300.317,299.741,297.481
Chiradzulu,February,2022,2.5993,0.03,0,0.01,296.203,300.317,299.741
Chiradzulu,March,2022,2.6046,0.02,0.03,0,296.486,296.203,300.317
Chiradzulu,April,2022,3.7335,0.02,0.02,0.03,295.839,296.486,296.203
Chiradzulu,May,2022,6.0564,0,0.02,0.02,295.289,295.839,296.486
Chiradzulu,June,2022,4.6251,0,0,0.02,292.902,295.289,295.839
Chiradzulu,July,2022,1.9241,0,0,0,290.134,292.902,295.289
Chiradzulu,August,2022,1.5669,0,0,0,290.459,290.134,292.902
Chiradzulu,September,2022,1.5669,0,0,0,292.874,290.459,290.134
Chiradzulu,October,2022,2.7949,0,0,0,294.944,292.874,290.459
Chiradzulu,November,2022,2.555,0,0,0,298.698,294.944,292.874
Chiradzulu,December,2022,4.5312,0,0,0,298.332,298.698,294.944
Chiradzulu,January,2023,14.1308,0.02,0,0,296.797,298.332,298.698
Chiradzulu,February,2023,16.9159,0.03,0.02,0,296.151,296.797,298.332
Chiradzulu,March,2023,12.0509,0.02,0.03,0.02,296.666,296.151,296.797
Chiradzulu,April,2023,14.0975,0.04,0.02,0.03,295.709,296.666,296.151
Chiradzulu,May,2023,12.133,0,0.04,0.02,294.94,295.709,296.666
Chiradzulu,June,2023,23.5633,0,0,0.04,294.044,294.94,295.709
Chiradzulu,July,2023,19.796,0,0,0,293.207,294.044,294.94
Chiradzulu,August,2023,11.7945,0,0,0,291.343,293.207,294.044
Chiradzulu,September,2023,6.2704,0,0,0,292.909,291.343,293.207
Chiradzulu,October,2023,8.5811,0,0,0,297.138,292.909,291.343
Chiradzulu,November,2023,14.9335,0,0,0,299.028,297.138,292.909
Chiradzulu,December,2023,12.7126,0,0,0,298.62,299.028,297.138
Chiradzulu,January,2024,45.1365,0.01,0,0,299.726,298.62,299.028
Chiradzulu,February,2024,30.3838,0.01,0.01,0,297.42,299.726,298.62
Chiradzulu,March,2024,38.8543,0.01,0.01,0.01,298.058,297.42,299.726
Chiradzulu,April,2024,43.453,0.01,0.01,0.01,297.195,298.058,297.42
Chiradzulu,May,2024,72.8802,0,0.01,0.01,295.741,297.195,298.058
Chiradzulu,June,2024,26.4464,0,0,0.01,293.682,295.741,297.195
Chiradzulu,July,2024,13.1929,0,0,0,291.764,293.682,295.741
Chiradzulu,August,2024,15.3332,0,0,0,292.578,291.764,293.682
Chiradzulu,September,2024,11.9738,0,0,0,293.723,292.578,291.764
Chiradzulu,October,2024,11.5018,0,0,0,295.918,293.723,292.578
Chiradzulu,November,2024,8.7482,0,0,0,296.657,295.918,293.723
Chiradzulu,December,2024,17.7739,0.01,0,0,298.405,296.657,295.918
Chitipa,April,2018,40.5309,0.03,0.02,0.02,293.716,294.6,293.35
Chitipa,May,2018,26.0367,0.02,0.03,0.02,292.98,293.716,294.6
Chitipa,June,2018,23.6387,0,0.02,0.03,292.267,292.98,293.716
Chitipa,July,2018,19.5925,0,0,0.02,289.925,292.267,292.98
Chitipa,August,2018,18.5788,0,0,0,288.897,289.925,292.267
Chitipa,September,2018,18.1827,0,0,0,291.486,288.897,289.925
Chitipa,October,2018,12.7734,0,0,0,294.248,291.486,288.897
Chitipa,November,2018,11.5809,0,0,0,294.921,294.248,291.486
Chitipa,December,2018,27.0461,0.01,0,0,295.783,294.921,294.248
Chitipa,January,2019,31.0728,0.02,0.01,0,294.403,295.783,294.921
Chitipa,February,2019,21.3288,0.02,0.02,0.01,294.529,294.403,295.783
Chitipa,March,2019,18.7014,0.02,0.02,0.02,294.489,294.529,294.403
Chitipa,April,2019,24.0399,0.02,0.02,0.02,294.524,294.489,294.529
Chitipa,May,2019,32.738,0.01,0.02,0.02,294.001,294.524,294.489
Chitipa,June,2019,14.8064,0,0.01,0.02,292.693,294.001,294.524
Chitipa,July,2019,10.2628,0,0,0.01,289.458,292.693,294.001
Chitipa,August,2019,6.0623,0,0,0,289.894,289.458,292.693
Chitipa,September,2019,4.8071,0,0,0,291.628,289.894,289.458
Chitipa,October,2019,4.9787,0,0,0,293.701,291.628,289.894
Chitipa,November,2019,3.6733,0,0,0,296.026,293.701,291.628
Chitipa,December,2019,7.2379,0.01,0,0,296.432,296.026,293.701
Chitipa,January,2020,13.7101,0.03,0.01,0,294.392,296.432,296.026
Chitipa,February,2020,19.634,0.03,0.03,0.01,294.54,294.392,296.432
Chitipa,March,2020,27.268,0.03,0.03,0.03,294.46,294.54,294.392
Chitipa,April,2020,36.7643,0.03,0.03,0.03,294.071,294.46,294.54
Chitipa,May,2020,26.9227,0.01,0.03,0.03,293.693,294.071,294.46
Chitipa,June,2020,39.013,0,0.01,0.03,291.932,293.693,294.071
Chitipa,July,2020,10.3144,0,0,0.01,290.161,291.932,293.693
Chitipa,August,2020,4.9702,0,0,0,288.822,290.161,291.932
Chitipa,September,2020,9.8416,0,0,0,291.645,288.822,290.161
Chitipa,October,2020,11.5271,0,0,0,293.479,291.645,288.822
Chitipa,November,2020,9.7594,0,0,0,296.036,293.479,291.645
Chitipa,December,2020,23.9094,0,0,0,296.37,296.036,293.479
Chitipa,January,2021,31.6911,0.02,0,0,294.36,296.37,296.036
Chitipa,February,2021,22.2088,0.03,0.02,0,293.745,294.36,296.37
Chitipa,March,2021,32.0144,0.02,0.03,0.02,294.232,293.745,294.36
Chitipa,April,2021,50.1547,0.02,0.02,0.03,293.801,294.232,293.745
Chitipa,May,2021,45.6944,0.01,0.02,0.02,293.045,293.801,294.232
Chitipa,June,2021,38.0989,0,0.01,0.02,291.028,293.045,293.801
Chitipa,July,2021,15.9223,0,0,0.01,289.972,291.028,293.045
Chitipa,August,2021,9.6681,0,0,0,288.841,289.972,291.028
Chitipa,September,2021,10.6297,0,0,0,291.439,288.841,289.972
Chitipa,October,2021,12.0034,0,0,0,293.772,291.439,288.841
Chitipa,November,2021,11.4903,0,0,0,295.779,293.772,291.439
Chitipa,December,2021,14.2699,0,0,0,297.436,295.779,293.772
Chitipa,January,2022,30.9455,0,0,0,296.884,297.436,295.779
Chitipa,February,2022,35.381,0.02,0,0,293.818,296.884,297.436
Chitipa,March,2022,25.846800000000002,0.03,0.02,0,293.503,293.818,296.884
Chitipa,April,2022,26.1764,0.02,0.03,0.02,294.075,293.503,293.818
Chitipa,May,2022,17.1783,0.01,0.02,0.03,293.659,294.075,293.503
Chitipa,June,2022,12.5005,0,0.01,0.02,291.922,293.659,294.075
Chitipa,July,2022,7.8744,0,0,0.01,289.258,291.922,293.659
Chitipa,August,2022,4.2648,0,0,0,289.486,289.258,291.922
Chitipa,September,2022,3.7009,0,0,0,291.266,289.486,289.258
Chitipa,October,2022,2.9147,0,0,0,293.009,291.266,289.486
