-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/30/2015 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
-11.0,35.625,2015,1,3,17.28
-11.0,36.25,2015,1,3,17.42
-11.0,36.875,2015,1,3,17.48
-10.5,32.5,2015,1,3,15.33
-10.5,33.125,2015,1,3,16.08
-10.5,33.75,2015,1,3,15.07
-10.5,34.375,2015,1,3,17.67
-10.5,35.0,2015,1,3,17.27
-10.5,35.625,2015,1,3,16.76
-10.5,36.25,2015,1,3,17.04
-10.5,36.875,2015,1,3,17.34
-10.0,32.5,2015,1,3,14.92
-10.0,33.125,2015,1,3,15.71
-10.0,33.75,2015,1,3,16.35
-10.0,34.375,2015,1,3,16.43
-10.0,35.0,2015,1,3,16.1
-10.0,35.625,2015,1,3,17.29
-10.0,36.25,2015,1,3,17.27
-10.0,36.875,2015,1,3,17.49
-9.5,32.5,2015,1,3,15.01
-9.5,33.125,2015,1,3,14.73
-9.5,33.75,2015,1,3,15.63
-9.5,34.375,2015,1,3,14.17
-9.5,35.0,2015,1,3,15.01
-9.5,35.625,2015,1,3,17.92
-9.5,36.25,2015,1,3,17.63
-9.5,36.875,2015,1,3,17.89
-9.0,32.5,2015,1,3,14.97
-9.0,33.125,2015,1,3,14.42
-9.0,33.75,2015,1,3,13.8
-9.0,34.375,2015,1,3,14.62
-9.0,35.0,2015,1,3,14.93
-9.0,35.625,2015,1,3,18.0
-9.0,36.25,2015,1,3,18.24
-9.0,36.875,2015,1,3,18.06
-17.0,32.5,2015,1,4,15.66
-17.0,33.125,2015,1,4,16.23
-17.0,33.75,2015,1,4,16.39
-17.0,34.375,2015,1,4,17.47
-17.0,35.0,2015,1,4,17.63
-17.0,35.625,2015,1,4,17.34
-17.0,36.25,2015,1,4,17.36
-17.0,36.875,2015,1,4,17.52
