"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.95,54.7328665720227
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.975,59.5312022209927
"SARIMA",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.99,65.110304385877
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.01,0
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.025,0
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.05,0
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.1,3.68404596453112
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.15,7.61101045718785
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.2,10.7320373486437
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.25,13.4096005200089
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.3,15.8141350014636
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.35,18.0422945458043
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.4,20.1566000611868
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.45,22.2022151159777
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.5,24.2153977169163
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.55,26.2285803178549
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.6,28.2741953726458
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.65,30.3885008880283
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.7,32.616660432369
"SARIMA",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.75,35.0211949138237
