"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.4,9.98996114479125
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.45,13.1793135612018
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.5,16.3181
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.55,19.4568864387982
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.6,22.6462388552088
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.65,25.9426877099051
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.7,29.4166482726454
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.75,33.1655979300157
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.8,37.3402311537424
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.85,42.2062760308731
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.9,48.3288716113467
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.95,57.4034805668473
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.975,65.2743505032056
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.99,74.4259377855344
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.01,0
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.025,0
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.05,0
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.1,0
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.15,0
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.2,0
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.25,0
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.3,0.275720180402413
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.35,4.53043556303518
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.4,8.56774439162924
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.45,12.4738874066884
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.5,16.3181
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.55,20.1623125933116
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.6,24.0684556083708
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.65,28.1057644369648
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.7,32.3604798195976
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.75,36.9519866855672
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.8,42.0648473162673
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.85,48.0245108234945
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.9,55.5231283602844
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.95,66.6372091384179
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.975,76.2770167263629
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.99,87.4853763154877
"BASELINE",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"point",NA,16.3181
"BASELINE",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"point",NA,16.3181
"BASELINE",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"point",NA,16.3181
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.01,0
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.025,0
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.05,0
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.1,0
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.15,0
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.2,1.47838490569662
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.25,4.31464644335912
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.3,6.86169696252798
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.35,9.22191885494632
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.4,11.4615386242492
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.45,13.6283966699582
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.5,15.7609
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.55,17.8934033300418
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.6,20.0602613757508
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.65,22.2998811450537
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.7,24.660103037472
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.75,27.2071535566409
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.8,30.0434150943034
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.85,33.3494243137733
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.9,37.5091388144062
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.95,43.6744623219976
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.975,49.0219610056087
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.99,55.2395838784175
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.01,0
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.025,0
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.05,0
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.1,0
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.15,0
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.2,0
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.25,0
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.3,3.17552637009523
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.35,6.51338418056314
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.4,9.68068483287023
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.45,12.7450848688492
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.5,15.7609
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.55,18.7767151311508
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.6,21.8411151671298
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.65,25.0084158194369
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.7,28.3462736299048
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.75,31.9483470181628
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.8,35.9594265511623
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.85,40.6348296266671
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.9,46.5175542890622
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.95,55.2366384099157
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.975,62.7991435730507
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.99,71.5921901654982
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.01,0
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.025,0
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.05,0
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.1,0
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.15,0
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.2,0
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.25,0
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.3,0.347028192227191
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.35,4.43505242703212
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.4,8.31418765710046
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.45,12.0672958850579
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.5,15.7609
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.55,19.4545041149421
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.6,23.2076123428996
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.65,27.0867475729679
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.7,31.1747718077728
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.75,35.586392716418
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.8,40.4989418032029
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.85,46.2251177416159
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.9,53.4299546016931
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.95,64.1086081619402
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.975,73.3707475753622
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.99,84.1399862933695
"BASELINE",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"point",NA,15.7609
"BASELINE",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"point",NA,15.7609
"BASELINE",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"point",NA,15.7609
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.01,0
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.025,0
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.05,0.407960720197234
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.1,6.59214160467559
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.15,10.7645790879685
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.2,14.0807001307298
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.25,16.9256367124026
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.3,19.4804776892061
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.35,21.8479186016333
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.4,24.094388514975
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.45,26.2678741543177
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.5,28.4069
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.55,30.5459258456823
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.6,32.719411485025
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.65,34.9658813983667
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.7,37.3333223107939
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.75,39.8881632875974
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.8,42.7330998692702
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.85,46.0492209120315
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.9,50.2216583953244
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.95,56.4058392798027
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.975,61.7696939255876
"BASELINE",2023-06-01,"Balaka",1,"month","incidence",2023-07-01,"quantile",0.99,68.0063341391262
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.01,0
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.025,0
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.05,0
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.1,0
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.15,3.45689049446662
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.2,8.14659384761049
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.25,12.1699417455034
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.3,15.7830325046055
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.35,19.1310995510769
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.4,22.308087769988
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.45,25.3818606387695
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.5,28.4069
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.55,31.4319393612305
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.6,34.505712230012
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.65,37.6827004489231
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.7,41.0307674953945
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.75,44.6438582544966
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.8,48.6672061523895
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.85,53.3569095055334
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.9,59.2576271825601
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.95,68.0033796615578
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.975,75.5890156482246
"BASELINE",2023-06-01,"Balaka",2,"month","incidence",2023-08-01,"quantile",0.99,84.4089568218525
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.01,0
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.025,0
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.05,0
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.1,0
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.15,0
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.2,3.59319394703748
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.25,8.52076865080596
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.3,12.9458830278886
"BASELINE",2023-06-01,"Balaka",3,"month","incidence",2023-09-01,"quantile",0.35,17.0464109721297
