"model","forecast_date","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","value"
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.6,31.2241834878978
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.65,33.2331261745454
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.7,35.3502491677556
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.75,37.6349577522841
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.8,40.1790891051165
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.85,43.1445849158232
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.9,46.8758557945355
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.95,52.4061613138724
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.975,57.2028765954318
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"quantile",0.99,62.7800947330221
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.01,0
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.025,0
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.05,0
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.1,0
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.15,2.74374833162551
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.2,5.86500141315694
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.25,8.54275863546669
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.3,10.947467380667
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.35,13.1757884063385
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.4,15.2902471517126
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.45,17.3360104582937
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.5,19.3493389605464
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.55,21.362667462799
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.6,23.4084307693801
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.65,25.5228895147542
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.7,27.7512105404257
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.75,30.155919285626
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.8,32.8336765079358
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.85,35.9549295894672
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.9,39.8821786808879
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.95,45.7029534335346
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.975,50.7516074561578
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"quantile",0.99,56.6217588269598
"T1_SARIMAX",2023-04-01,"Balaka",1,"month","incidence",2023-05-01,"point",NA,35.1501687990543
"T1_SARIMAX",2023-04-01,"Balaka",2,"month","incidence",2023-06-01,"point",NA,27.3676491281579
"T1_SARIMAX",2023-04-01,"Balaka",3,"month","incidence",2023-07-01,"point",NA,19.3493389605464
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.01,0
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.025,0
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.05,0
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.1,0
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.15,2.30747889196118
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.2,4.90323444238481
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.25,7.13016157419148
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.3,9.1300109646303
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.35,10.98316946201
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.4,12.7416356552588
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.45,14.4429720477904
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.5,16.11733439459
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.55,17.7916967413896
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.6,19.4930331339213
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.65,21.25149932717
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.7,23.1046578245497
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.75,25.1045072149886
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.8,27.3314343467952
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.85,29.9271898972189
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.9,33.1932431010653
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.95,38.034025946055
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.975,42.232683138878
"T1_SARIMAX",2023-05-01,"Balaka",1,"month","incidence",2023-06-01,"quantile",0.99,47.1145295014004
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.01,0
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.025,0
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.05,0
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.1,0
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.15,0
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.2,0.560217543352124
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.25,3.20651033573477
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.3,5.58296305041142
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.35,7.78510065281246
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.4,9.87471388998538
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.45,11.8964388798472
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.5,13.8861101838103
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.55,15.8757814877735
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.6,17.8975064776352
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.65,19.9871197148082
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.7,22.1892573172092
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.75,24.5657100318859
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.8,27.2120028242685
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.85,30.2965802699169
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.9,34.1776830367889
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.95,39.9300619849914
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.975,44.9193928473978
"T1_SARIMAX",2023-05-01,"Balaka",2,"month","incidence",2023-07-01,"quantile",0.99,50.720568224062
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.01,0
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.025,0
"T1_SARIMAX",2023-05-01,"Balaka",3,"month","incidence",2023-08-01,"quantile",0.05,0
