-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/30/2017 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
-12.5,32.5,2017,1,2,16.52
-12.5,33.125,2017,1,2,15.11
-12.5,33.75,2017,1,2,15.62
-12.5,34.375,2017,1,2,16.84
-12.5,35.0,2017,1,2,15.67
-12.5,35.625,2017,1,2,15.72
-12.5,36.25,2017,1,2,16.33
-12.5,36.875,2017,1,2,16.28
-12.0,32.5,2017,1,2,16.26
-12.0,33.125,2017,1,2,15.12
-12.0,33.75,2017,1,2,15.28
-12.0,34.375,2017,1,2,16.81
-12.0,35.0,2017,1,2,15.84
-12.0,35.625,2017,1,2,15.59
-12.0,36.25,2017,1,2,15.85
-12.0,36.875,2017,1,2,15.67
-11.5,32.5,2017,1,2,15.61
-11.5,33.125,2017,1,2,15.81
-11.5,33.75,2017,1,2,15.1
-11.5,34.375,2017,1,2,16.19
-11.5,35.0,2017,1,2,15.03
-11.5,35.625,2017,1,2,14.9
-11.5,36.25,2017,1,2,14.56
-11.5,36.875,2017,1,2,14.2
-11.0,32.5,2017,1,2,14.86
-11.0,33.125,2017,1,2,16.15
-11.0,33.75,2017,1,2,14.91
-11.0,34.375,2017,1,2,15.84
-11.0,35.0,2017,1,2,14.2
-11.0,35.625,2017,1,2,13.95
-11.0,36.25,2017,1,2,13.71
-11.0,36.875,2017,1,2,13.65
-10.5,32.5,2017,1,2,14.61
-10.5,33.125,2017,1,2,15.57
-10.5,33.75,2017,1,2,14.07
-10.5,34.375,2017,1,2,14.68
-10.5,35.0,2017,1,2,13.89
-10.5,35.625,2017,1,2,14.33
-10.5,36.25,2017,1,2,13.74
-10.5,36.875,2017,1,2,13.88
-10.0,32.5,2017,1,2,14.24
-10.0,33.125,2017,1,2,14.71
-10.0,33.75,2017,1,2,14.64
-10.0,34.375,2017,1,2,14.51
-10.0,35.0,2017,1,2,13.32
-10.0,35.625,2017,1,2,14.47
-10.0,36.25,2017,1,2,14.08
-10.0,36.875,2017,1,2,14.27
-9.5,32.5,2017,1,2,14.27
-9.5,33.125,2017,1,2,14.39
-9.5,33.75,2017,1,2,13.83
-9.5,34.375,2017,1,2,12.34
-9.5,35.0,2017,1,2,13.5
-9.5,35.625,2017,1,2,14.99
-9.5,36.25,2017,1,2,14.5
-9.5,36.875,2017,1,2,14.86
-9.0,32.5,2017,1,2,14.23
-9.0,33.125,2017,1,2,14.3
-9.0,33.75,2017,1,2,12.9
-9.0,34.375,2017,1,2,12.68
-9.0,35.0,2017,1,2,13.75
-9.0,35.625,2017,1,2,15.7
-9.0,36.25,2017,1,2,15.16
-9.0,36.875,2017,1,2,14.64
-17.0,32.5,2017,1,3,16.09
-17.0,33.125,2017,1,3,16.98
-17.0,33.75,2017,1,3,16.79
-17.0,34.375,2017,1,3,17.67
-17.0,35.0,2017,1,3,18.02
-17.0,35.625,2017,1,3,17.94
-17.0,36.25,2017,1,3,17.63
-17.0,36.875,2017,1,3,17.34
-16.5,32.5,2017,1,3,16.51
-16.5,33.125,2017,1,3,16.92
-16.5,33.75,2017,1,3,17.22
-16.5,34.375,2017,1,3,17.54
-16.5,35.0,2017,1,3,17.97
-16.5,35.625,2017,1,3,17.34
-16.5,36.25,2017,1,3,17.08
-16.5,36.875,2017,1,3,17.08
-16.0,32.5,2017,1,3,17.02
-16.0,33.125,2017,1,3,17.31
-16.0,33.75,2017,1,3,17.39
-16.0,34.375,2017,1,3,17.02
-16.0,35.0,2017,1,3,17.13
-16.0,35.625,2017,1,3,16.27
-16.0,36.25,2017,1,3,16.84
-16.0,36.875,2017,1,3,16.71
-15.5,32.5,2017,1,3,17.47
-15.5,33.125,2017,1,3,17.32
-15.5,33.75,2017,1,3,17.17
-15.5,34.375,2017,1,3,16.31
-15.5,35.0,2017,1,3,16.77
-15.5,35.625,2017,1,3,16.95
-15.5,36.25,2017,1,3,16.51
-15.5,36.875,2017,1,3,16.09
-15.0,32.5,2017,1,3,16.94
-15.0,33.125,2017,1,3,17.24
-15.0,33.75,2017,1,3,16.1
-15.0,34.375,2017,1,3,15.31
-15.0,35.0,2017,1,3,16.37
-15.0,35.625,2017,1,3,16.68
-15.0,36.25,2017,1,3,16.54
-15.0,36.875,2017,1,3,16.44
-14.5,32.5,2017,1,3,16.41
-14.5,33.125,2017,1,3,16.2
-14.5,33.75,2017,1,3,15.16
-14.5,34.375,2017,1,3,15.07
-14.5,35.0,2017,1,3,16.4
-14.5,35.625,2017,1,3,16.01
-14.5,36.25,2017,1,3,16.99
-14.5,36.875,2017,1,3,17.48
-14.0,32.5,2017,1,3,15.64
-14.0,33.125,2017,1,3,15.2
-14.0,33.75,2017,1,3,14.99
-14.0,34.375,2017,1,3,16.03
-14.0,35.0,2017,1,3,16.27
-14.0,35.625,2017,1,3,16.18
-14.0,36.25,2017,1,3,17.05
-14.0,36.875,2017,1,3,17.14
-13.5,32.5,2017,1,3,15.75
-13.5,33.125,2017,1,3,14.96
-13.5,33.75,2017,1,3,15.15
-13.5,34.375,2017,1,3,16.3
-13.5,35.0,2017,1,3,16.12
-13.5,35.625,2017,1,3,16.02
-13.5,36.25,2017,1,3,16.99
-13.5,36.875,2017,1,3,16.78
-13.0,32.5,2017,1,3,15.97
-13.0,33.125,2017,1,3,15.05
-13.0,33.75,2017,1,3,15.61
-13.0,34.375,2017,1,3,16.29
-13.0,35.0,2017,1,3,15.84
-13.0,35.625,2017,1,3,15.7
-13.0,36.25,2017,1,3,16.87
-13.0,36.875,2017,1,3,16.98
-12.5,32.5,2017,1,3,16.14
-12.5,33.125,2017,1,3,15.24
-12.5,33.75,2017,1,3,15.79
-12.5,34.375,2017,1,3,16.56
-12.5,35.0,2017,1,3,16.29
-12.5,35.625,2017,1,3,15.97
-12.5,36.25,2017,1,3,16.73
-12.5,36.875,2017,1,3,16.56
-12.0,32.5,2017,1,3,16.03
-12.0,33.125,2017,1,3,15.61
-12.0,33.75,2017,1,3,15.62
-12.0,34.375,2017,1,3,16.96
-12.0,35.0,2017,1,3,16.72
-12.0,35.625,2017,1,3,16.51
-12.0,36.25,2017,1,3,16.56
-12.0,36.875,2017,1,3,16.11
-11.5,32.5,2017,1,3,15.54
-11.5,33.125,2017,1,3,15.86
-11.5,33.75,2017,1,3,15.71
-11.5,34.375,2017,1,3,16.89
-11.5,35.0,2017,1,3,16.13
-11.5,35.625,2017,1,3,16.02
-11.5,36.25,2017,1,3,15.51
-11.5,36.875,2017,1,3,14.65
-11.0,32.5,2017,1,3,15.11
-11.0,33.125,2017,1,3,16.13
-11.0,33.75,2017,1,3,15.45
-11.0,34.375,2017,1,3,16.34
-11.0,35.0,2017,1,3,15.16
-11.0,35.625,2017,1,3,15.07
-11.0,36.25,2017,1,3,14.22
-11.0,36.875,2017,1,3,13.75
-10.5,32.5,2017,1,3,14.47
-10.5,33.125,2017,1,3,15.34
-10.5,33.75,2017,1,3,14.8
-10.5,34.375,2017,1,3,15.98
-10.5,35.0,2017,1,3,14.95
-10.5,35.625,2017,1,3,14.89
-10.5,36.25,2017,1,3,14.2
-10.5,36.875,2017,1,3,14.13
-10.0,32.5,2017,1,3,14.21
-10.0,33.125,2017,1,3,14.83
-10.0,33.75,2017,1,3,15.66
-10.0,34.375,2017,1,3,15.45
-10.0,35.0,2017,1,3,14.39
-10.0,35.625,2017,1,3,15.09
-10.0,36.25,2017,1,3,14.46
-10.0,36.875,2017,1,3,14.79
-9.5,32.5,2017,1,3,14.48
-9.5,33.125,2017,1,3,14.49
-9.5,33.75,2017,1,3,15.07
-9.5,34.375,2017,1,3,13.29
-9.5,35.0,2017,1,3,14.12
-9.5,35.625,2017,1,3,15.53
-9.5,36.25,2017,1,3,14.92
-9.5,36.875,2017,1,3,15.63
-9.0,32.5,2017,1,3,14.61
-9.0,33.125,2017,1,3,14.35
-9.0,33.75,2017,1,3,13.58
-9.0,34.375,2017,1,3,13.84
-9.0,35.0,2017,1,3,14.26
-9.0,35.625,2017,1,3,16.46
-9.0,36.25,2017,1,3,15.64
-9.0,36.875,2017,1,3,15.43
-17.0,32.5,2017,1,4,15.94
-17.0,33.125,2017,1,4,16.61
-17.0,33.75,2017,1,4,16.77
-17.0,34.375,2017,1,4,17.82
-17.0,35.0,2017,1,4,18.09
-17.0,35.625,2017,1,4,17.84
-17.0,36.25,2017,1,4,17.65
-17.0,36.875,2017,1,4,17.2
-16.5,32.5,2017,1,4,15.83
-16.5,33.125,2017,1,4,16.31
-16.5,33.75,2017,1,4,17.08
-16.5,34.375,2017,1,4,17.64
-16.5,35.0,2017,1,4,18.1
-16.5,35.625,2017,1,4,17.28
-16.5,36.25,2017,1,4,17.11
-16.5,36.875,2017,1,4,16.52
-16.0,32.5,2017,1,4,15.8
-16.0,33.125,2017,1,4,16.37
-16.0,33.75,2017,1,4,17.12
-16.0,34.375,2017,1,4,17.03
-16.0,35.0,2017,1,4,16.99
-16.0,35.625,2017,1,4,16.13
-16.0,36.25,2017,1,4,16.52
-16.0,36.875,2017,1,4,15.91
-15.5,32.5,2017,1,4,16.65
-15.5,33.125,2017,1,4,16.46
-15.5,33.75,2017,1,4,16.79
-15.5,34.375,2017,1,4,16.21
-15.5,35.0,2017,1,4,16.45
-15.5,35.625,2017,1,4,16.56
-15.5,36.25,2017,1,4,16.39
-15.5,36.875,2017,1,4,15.94
-15.0,32.5,2017,1,4,16.88
-15.0,33.125,2017,1,4,16.91
-15.0,33.75,2017,1,4,15.6
-15.0,34.375,2017,1,4,15.13
-15.0,35.0,2017,1,4,16.29
