District,Incidence_Month,Year,Incidence_per_1k,Temperature,Precipitation,lag1_rainfall,lag2_rainfall,lag3_rainfall,lag1_temperature,lag2_temperature,lag3_temperature
Chiradzulu,August,2019,2.7694,293.674,0,0,0,0,290.637,290.792,292.932
Chiradzulu,September,2019,2.6925,294.87,0,0,0,0,293.674,290.637,290.792
Chiradzulu,October,2019,2.7419,299.127,0,0,0,0,294.87,293.674,290.637
Chiradzulu,November,2019,3.0524,299.499,0.01,0,0,0,299.127,294.87,293.674
Chiradzulu,December,2019,4.7283,298.002,0.01,0.01,0,0,299.499,299.127,294.87
Chiradzulu,January,2020,20.6731,296.433,0.04,0.01,0.01,0,298.002,299.499,299.127
Chiradzulu,February,2020,16.2152,297.042,0.01,0.04,0.01,0.01,296.433,298.002,299.499
Chiradzulu,March,2020,27.9131,296.256,0,0.01,0.04,0.01,297.042,296.433,298.002
Chiradzulu,April,2020,35.0317,296.298,0,0,0.01,0.04,296.256,297.042,296.433
Chiradzulu,May,2020,22.5728,293.252,0,0,0,0.01,296.298,296.256,297.042
Chiradzulu,June,2020,8.0415,291.16,0,0,0,0,293.252,296.298,296.256
Chiradzulu,July,2020,4.9841,290.288,0,0,0,0,291.16,293.252,296.298
Chiradzulu,August,2020,2.3423,293.141,0,0,0,0,290.288,291.16,293.252
Chiradzulu,September,2020,2.6607,295.773,0,0,0,0,293.141,290.288,291.16
Chiradzulu,October,2020,3.9641,297.928,0,0,0,0,295.773,293.141,290.288
Chiradzulu,November,2020,3.8669,300.583,0,0,0,0,297.928,295.773,293.141
Chiradzulu,December,2020,5.1514,298.286,0.02,0,0,0,300.583,297.928,295.773
Chiradzulu,January,2021,16.6824,297.25,0.02,0.02,0,0,298.286,300.583,297.928
Chiradzulu,February,2021,12.9142,297.576,0.02,0.02,0.02,0,297.25,298.286,300.583
Chiradzulu,March,2021,37.4115,295.641,0.01,0.02,0.02,0.02,297.576,297.25,298.286
Chiradzulu,April,2021,32.381100000000004,294.085,0,0.01,0.02,0.02,295.641,297.576,297.25
Chiradzulu,May,2021,23.6726,291.816,0,0,0.01,0.02,294.085,295.641,297.576
Chiradzulu,June,2021,14.6087,290.924,0,0,0,0.01,291.816,294.085,295.641
Chiradzulu,July,2021,5.6616,290.362,0,0,0,0,290.924,291.816,294.085
Chiradzulu,August,2021,2.4503,292.477,0,0,0,0,290.362,290.924,291.816
Chiradzulu,September,2021,2.7181,295.234,0,0,0,0,292.477,290.362,290.924
Chiradzulu,October,2021,2.8295,297.481,0,0,0,0,295.234,292.477,290.362
Chiradzulu,November,2021,2.7817,299.741,0.01,0,0,0,297.481,295.234,292.477
Chiradzulu,December,2021,3.2113,300.317,0,0.01,0,0,299.741,297.481,295.234
Chiradzulu,January,2022,3.4884,296.203,0.03,0,0.01,0,300.317,299.741,297.481
Chiradzulu,February,2022,2.5993,296.486,0.02,0.03,0,0.01,296.203,300.317,299.741
Chiradzulu,March,2022,2.6046,295.839,0.02,0.02,0.03,0,296.486,296.203,300.317
Chiradzulu,April,2022,3.7335,295.289,0,0.02,0.02,0.03,295.839,296.486,296.203
